Câu,Độ dài,Phân nhóm
"第一回 靈根育孕源流出 心性修持大道生
 詩曰:
 混沌未分天地亂，茫茫渺渺無人見。
 自從盤古破鴻濛，開闢從茲清濁辨。
 覆載群生仰至仁，發明萬物皆成善。
 欲知造化會元功，須看西遊釋厄傳。
蓋聞天地之數，有十二萬九千六百歲為一元。",117,Dài
"將一元分為十二會，乃子、丑、寅 、卯、
辰、巳、午、未、申、酉、戌、亥之十二支也。",41,Dài
每會該一萬八百歲。,9,Ngắn
"且就 一日而論:子時
得陽氣，而丑則雞鳴
寅不通光，而卯則日出
辰時食後，而巳 則挨排
日午天中，而未
則西蹉
申時晡，而日落酉，戌黃昏，而人定亥。",74,Dài
"譬於 大數，若到戌會之終，則天地昏曚
而萬物否矣。",25,Trung bình
"再去五千四百歲，交亥會之初， 則當黑暗，而兩間人物俱無矣，故曰混沌。
又五千四百歲，亥會將終，貞下起元 ，近子之會，而復逐漸開明。",65,Dài
"邵康節曰:
冬至子
之半，天心無改移。",19,Trung bình
"一陽初 動處，萬物未生時。
到此，天始有根。",22,Trung bình
"再五千四百歲，正當
子會，輕清上騰， 有日，有月，有星，有辰。",31,Trung bình
日、月、星、辰，謂之四象。,13,Ngắn
"故曰，天開於
子。",9,Ngắn
又經 五千四百歲，子會將終，近丑之會，而逐漸堅實。,25,Trung bình
"《易》曰:
大哉乾元至哉
坤元萬物資生，乃順承天。
至此，地始凝結。",34,Trung bình
"再五千四百歲，正當丑會，重 濁下凝，
有水，有火，有山，有石，有土。",34,Trung bình
水、火、山、石、土，謂之五形。,15,Ngắn
故 曰，地闢於丑。,9,Ngắn
"又
經五千四百歲，丑會終而寅會之初，發生萬物。",23,Trung bình
"曆曰:
天氣 下降，地氣上升
天地交
合，群物皆生。
至此，天清地爽，陰陽交合。",40,Dài
"再五千 四百歲，子會將終，近丑之會，而
逐漸堅實。",25,Trung bình
"《易》曰:
大哉乾元至哉坤元 萬物資生，乃順承天。
至此，地始凝
結。",35,Dài
再五千四百歲，正當丑會，重濁下 凝，有水，有火，有山，有石，有土。,33,Trung bình
"水、火、
山、石、土，謂之五形。",16,Trung bình
故曰， 地闢於丑。,9,Ngắn
"又經五千四百歲，丑會終而寅會之初，發生萬
物。",23,Trung bình
"曆曰:
天氣下降 ，地氣上升
天地交合，群物皆生。
至此，天清地爽，陰陽交
合。",40,Dài
再五千四百 歲，正當寅會，生人，生獸，生禽，正謂天地人，三才定位。,33,Trung bình
"故曰，人生
於寅。
感盤古開闢，三皇治世，五帝定倫，世界之間，遂分為四大部洲:曰東勝神洲， 曰西牛
賀洲，曰南贍部洲，曰北俱蘆洲。",65,Dài
這部書單表東勝神洲。,10,Ngắn
海外有一國土， 名曰傲來國。,14,Ngắn
"國
近大海，海中有一座名山，喚為花果山。",20,Trung bình
"此山乃十洲之祖脈，三 島之來龍，自開清濁而
立，鴻濛判後而成。",31,Trung bình
真個好山有詞賦為證。,10,Ngắn
賦曰:勢鎮 汪洋，威寧瑤海。,14,Ngắn
