Câu,Độ dài,Phân nhóm
无事训儿开卸读，有时对宫把棋围。,16,Trung bình
喜来策杖歌芳径，兴到携琴上翠微。,16,Trung bình
荏履麻桦粗布被，心宽强似著罗衣。,16,Trung bình
张稍道:“李定，我两个真是微吟可相狎，不须檀板共金樽。,27,Dài
但散道词章，不为稀罕。,11,Ngắn
且各联几句，看我们渔樵攀话何如?”,17,Trung bình
李定道:“张兄言之最妙。,12,Ngắn
请兄先吟。”,6,Ngắn
“舟停缎水烟波内，家住深山暮厘中。,17,Trung bình
偏爱溪橘春水满，最怜岩岫晓云蒙。,16,Trung bình
龙门鲜鲤时焙煮，虫蛀干柴日燎烘。,16,Trung bình
钓网多般堪赡奄，担绳一事可容终。,16,Trung bình
小舟仰卧观飞雁，草径斜欹听唳鸿。,16,Trung bình
口舌场中无我分，是非海内少吾踪。,16,Trung bình
溪边挂晒缯如锦，石上重砖芩似锋。,16,Trung bình
秋月晖晖常独钓，春山寂寂没人遂。,16,Trung bình
鱼多换酒同妻饮，柴剩沽壶共子丛。,16,Trung bình
自唱自岛随放荡，长歌长噗任颠凤。,16,Trung bình
呼兄唤弟邀船伙，掩友携朋粿野翁。,16,Trung bình
行令猜拳头递蒯，拆牌道字漫传钟。,16,Trung bình
焓虾煮蟹朝朝栾，炒鸭爌鸡日日丰。,16,Trung bình
愚妇煎茎情散淡，山妻造饭意从容。,16,Trung bình
晓来举杖淘轻浪，日出担柴过大冲。,16,Trung bình
雨后披蓑擒活鲤，风前弅芙伐枯松。,16,Trung bình
潜踪避世妆痴蠢，隐姓埋名作哑声。”,17,Trung bình
张稍道:“李兄，我才僭先起句，今到我兄，也先起一联，小弟亦当续之。”,34,Dài
风月佯狂山野汉，江湖寄傲考余，。,16,Trung bình
清闲有分随潇洒，口舌无阉喜太平。,16,Trung bình
月夜身眠茅屋稳，天昏体盖箸篁轻。,16,Trung bình
忘情结识松梅友，乐意相交鸥腾盟。,16,Trung bình
名利心头无算计，干戈耳畔不闯声。,16,Trung bình
随时一酌香醪酒，度日三餐野菜萝。,16,Trung bình
两束柴薪为活计，一竿钩线是营生。,16,Trung bình
闲呼稚子腔钢芝，静唤憋儿补旧缕。,16,Trung bình
春到谙观杨柳线，时融喜看荻芦青。,16,Trung bình
夏天避暑修新竹，六月乘凉摘嫩菱。,16,Trung bình
霜降鸡肥常日宰，重阳蟹壮及时悲。,16,Trung bình
冬来日上还沉睽，数九天高自不寒。,16,Trung bình
八节山中随放性，四时湖裔任陶情。,16,Trung bình
采薪自有仙家兴，垂钓全无世俗形。,16,Trung bình
门外野花香艳艳，船头线水浪平平。,16,Trung bình
身安不说三公位，性定强如十里城。,16,Trung bình
十里城高防阊令，三公位显听宣声。,16,Trung bình
栾山栾水真是年，谢天谢地谢神明。”,17,Trung bình
他二人既各道词章，又相联诗句。,15,Trung bình
行到那分路去处，躬身作别。,13,Ngắn
张稍道:“李兄呵，途中保重，上山仔细看虎。,21,Trung bình
假若有些凶险，正是“明日街头少故人】。”,20,Trung bình
李定阗言，大怒道:“系这厮惫懒好朋友也普得生死，你怎么咒我?,30,Dài
我若遇虎遭宫，你必遇浪翻江。,14,Ngắn
张稍道“我永世也不得翻江。”,14,Ngắn
李定道“天有不测风云，人有暂时祸福。”,19,Trung bình
你怎么就保得无事?”,10,Ngắn
张稍道:“李兄，你虽这等说，你还没挹摸:不若我的生意有捉摸，定不遭此等事。”,38,Dài
李定道“你那水面上营生，极凶极险，隐隐暗暗，有甚么捉摸?”,29,Dài
张稍道:“你是不晓得。,11,Ngắn
这长安城裱，西门街上，有一个卖卦的先生。,20,Trung bình
我每日送他一尾金色鲤，他就与我袖传一课，依方位，百下百著。,29,Dài
今日我又去买卦，他教我在泾河湾头枯边下网，西岸抛钩，定获满载鱼虾而归。,35,Dài
明日上城来，卖钱沽酒，再与老儿相叙。”,19,Trung bình
二人从此叙别。,7,Ngắn
这正是:“路上说话，草裤有人。”,16,Trung bình
